ID,SEQUENCE,POS,PROJECT,FILE
883,Test Build Schema,VB VB NN,pandas-main,test_json_table_schema_ext_dtype.py
884,Test Table Schema Type,VB NN NN NN,pandas-main,test_json_table_schema_ext_dtype.py
885,Test Table Orient,VB NN NN,pandas-main,test_json_table_schema_ext_dtype.py
886,Test Build Schema,VB VB NN,pandas-main,test_json_table_schema.py
887,Test Table Schema Type,VB NN NN NN,pandas-main,test_json_table_schema.py
888,Test Table Orient,VB NN NN,pandas-main,test_json_table_schema.py
889,Test Table Orient Reader,VB NN NN NN,pandas-main,test_json_table_schema.py
890,My Reader,PRP$ NN,pandas-main,test_readlines.py
891,Test Pandas Container,VB NNP NN,pandas-main,test_pandas.py
892,Binary Thing,JJ NN,pandas-main,test_pandas.py
893,Test Object,VB NN,pandas-main,test_pandas.py
894,Test JSON Normalize,VB NNP VB,pandas-main,test_normalize.py
895,Test Nested To Record,VB VBN TO VB,pandas-main,test_normalize.py
896,Test Ultra JSON Tests,VB JJ NNP NNS,pandas-main,test_ujson.py
897,O 2,FW CD,pandas-main,test_ujson.py
898,O 1,FW CD,pandas-main,test_ujson.py
899,Dict Test,NN NN,pandas-main,test_ujson.py
900,Test Object,VB NN,pandas-main,test_ujson.py
901,Test Object,VB NN,pandas-main,test_ujson.py
902,Test Numpy JSON Tests,VB NNP NNP NNS,pandas-main,test_ujson.py
903,Test Pandas JSON Tests,VB NNP NNP NNS,pandas-main,test_ujson.py
904,Invalid Dialect,JJ NN,pandas-main,test_dialect.py
905,Base Parser,JJ NN,pandas-main,conftest.py
906,C Parser,NNP NN,pandas-main,conftest.py
907,C Parser High Memory,NNP NN JJ NN,pandas-main,conftest.py
908,C Parser Low Memory,NNP NNP NNP NNP,pandas-main,conftest.py
909,Python Parser,NNP NN,pandas-main,conftest.py
910,Py Arrow Parser,NNP NN NN,pandas-main,conftest.py
911,Test S 3,VB FW CD,pandas-main,test_network.py
912,No Next Buffer,DT JJ NN,pandas-main,test_c_parser_only.py
913,No Next Buffer,DT JJ NN,pandas-main,test_python_parser_only.py
914,Test Text Reader,VB NN NN,pandas-main,test_textreader.py
915,Test Unsupported Features,VB JJ NNS,pandas-main,test_unsupported.py
916,No Next Buffer,DT JJ NN,pandas-main,test_unsupported.py
917,Invalid Buffer,JJ NN,pandas-main,test_file_buffer_url.py
918,Foo,NNP,pandas-main,test_file_buffer_url.py
919,No Seek Tell Buffer,DT VB VB NN,pandas-main,test_file_buffer_url.py
920,My Text File Reader,PRP$ NN NN NN,pandas-main,test_common_basic.py
921,My C Parser Wrapper,PRP$ NNP NN NN,pandas-main,test_common_basic.py
922,Test Is NA,VB VBZ NNP,pandas-main,test_missing.py
923,Test NA Obj,VB NNP NN,pandas-main,test_missing.py
924,Test Lib Missing,VB NN VBG,pandas-main,test_missing.py
925,Test Is Valid NA For D type,VB VBZ JJ NNP IN NN NN,pandas-main,test_missing.py
926,Test Numpy EAD type,VB NNP NNP NN,pandas-main,test_common.py
927,Not TZD type,RB NNP NN,pandas-main,test_common.py
928,My Numeric D Type,PRP$ JJ NN NN,pandas-main,test_common.py
929,Mock Numpy Like Array,VB NNP IN NN,pandas-main,test_inference.py
930,Not List Like,RB NN IN,pandas-main,test_inference.py
931,My Data Frame,PRP$ NN NN,pandas-main,test_inference.py
932,A,FW,pandas-main,test_inference.py
933,D type List,NN NN NN,pandas-main,test_inference.py
934,Dict Like,NN IN,pandas-main,test_inference.py
935,Mock File,VB NN,pandas-main,test_inference.py
936,Hashable Class,JJ NN,pandas-main,test_inference.py
937,Unhashable Class 1,JJ NN CD,pandas-main,test_inference.py
938,Unhashable Class 2,JJ NN CD,pandas-main,test_inference.py
939,Test Inference,VB NN,pandas-main,test_inference.py
940,Test Type Inference,VB NN NN,pandas-main,test_inference.py
941,Dummy,JJ,pandas-main,test_inference.py
942,Test Number Scalar,VB NN NN,pandas-main,test_inference.py
943,Test Is Scalar,VB VBZ NN,pandas-main,test_inference.py
944,Numeric,NN,pandas-main,test_inference.py
945,Base,NN,pandas-main,test_dtypes.py
946,Test Categorical D type,VB JJ NN NN,pandas-main,test_dtypes.py
947,Test Datetime TZD type,VB NN NN NN,pandas-main,test_dtypes.py
948,Test Period D type,VB NN NN NN,pandas-main,test_dtypes.py
949,Test Interval D type,VB NN NN NN,pandas-main,test_dtypes.py
950,Test Categorical D type Parametrized,VB JJ NN NN VBN,pandas-main,test_dtypes.py
951,Test ABC Classes,VB NNP NNS,pandas-main,test_generic.py
952,Test Data Frame Constructors,VB NNS NN NNS,pandas-main,test_constructors.py
953,Dummy Container,JJ NN,pandas-main,test_constructors.py
954,Iter,NN,pandas-main,test_constructors.py
955,Custom Dict,JJ NN,pandas-main,test_constructors.py
956,List,NN,pandas-main,test_constructors.py
957,Datetime Subclass,NN NN,pandas-main,test_constructors.py
958,Test Data Frame Constructor Index Inference,VB NNS NN NN NN NN,pandas-main,test_constructors.py
959,Test Data Frame Constructor With D type Coercion,VB NNS NN NN IN NN NN NN,pandas-main,test_constructors.py
960,Test Data Frame Constructor With Datetime TZ,VB NNS NN NN IN NN NNP,pandas-main,test_constructors.py
961,Test From Scalar,VB IN NN,pandas-main,test_constructors.py
962,Test Allow Non Na no,VB VB RB NNP NNP,pandas-main,test_constructors.py
963,Test Data Frame Nonunique Indexes,VB NNS NN JJ NNS,pandas-main,test_nonunique_indexes.py
964,Test Data Frame Subclassing,VB NNS NN NN,pandas-main,test_subclass.py
965,Custom Series,JJ NN,pandas-main,test_subclass.py
966,Custom Data Frame,JJ NNS NN,pandas-main,test_subclass.py
967,A,FW,pandas-main,test_subclass.py
968,Subclassed Data Frame,VBN NNS NN,pandas-main,test_subclass.py
969,My Subclass With Metadata,PRP$ NN IN NN,pandas-main,test_subclass.py
970,Simple Data Frame Sub Class,JJ NNS NN NN NN,pandas-main,test_subclass.py
971,Simple Series Sub Class,JJ NN NN NN,pandas-main,test_subclass.py
972,Test Subclass Without Constructor,VB NN IN NN,pandas-main,test_subclass.py
973,Dummy Element,JJ NN,pandas-main,test_arithmetic.py
974,Test Frame Comparisons,VB NN NNS,pandas-main,test_arithmetic.py
975,Test Frame Flex Comparisons,VB NN JJ NN,pandas-main,test_arithmetic.py
976,Test Frame Flex Arithmetic,VB NN JJ NN,pandas-main,test_arithmetic.py
977,Test Frame Arithmetic,VB NN NN,pandas-main,test_arithmetic.py
978,Test Frame Arithmetic Unsorted,VB NN NN JJ,pandas-main,test_arithmetic.py
979,Subclassed Series,VBN NN,pandas-main,test_arithmetic.py
980,Subclassed Data Frame,VBN NNS NN,pandas-main,test_arithmetic.py
981,Test Data Frame Alter Axes,VB NNS NN VB NNS,pandas-main,test_alter_axes.py
982,Test Iteration,VB NN,pandas-main,test_iteration.py
983,Test Data Frame Analytics,VB NNS NN NNS,pandas-main,test_reductions.py
984,Test Data Frame Reductions,VB NNS NN NNS,pandas-main,test_reductions.py
985,Test Nuisance Columns,VB NN NNS,pandas-main,test_reductions.py
986,Test Empty Data Frame Reductions,VB JJ NNS NN NNS,pandas-main,test_reductions.py
987,Test As Array,VB IN NN,pandas-main,test_npfuncs.py
988,Test Data Frame Repr,VB NNS NN NN,pandas-main,test_repr.py
989,Test Data Frame Logical Operators,VB NNS NN JJ NNS,pandas-main,test_logical_ops.py
990,Test Data Frame Validate,VB NNS NN VB,pandas-main,test_validate.py
991,Test Data Frame Reshape,VB NNS NN VB,pandas-main,test_stack_unstack.py
992,Test Stack Unstack Multi Level,VB VB VB JJ NN,pandas-main,test_stack_unstack.py
993,Mock Unstacker,VB NNP,pandas-main,test_stack_unstack.py
994,Test Data Frame Unary Operators,VB NNS NN JJ NNS,pandas-main,test_unary.py
995,Test Data Frame Block Internals,VB NNS NN NN NNS,pandas-main,test_block_internals.py
996,Test Compat,VB NN,pandas-main,test_query_eval.py
997,Test Data Frame Eval,VB NNS NN NN,pandas-main,test_query_eval.py
998,Test Data Frame Query With Multi Index,VB NNS NN NN IN JJ NN,pandas-main,test_query_eval.py
999,Test Data Frame Query Num Expr Pandas,VB NNS NN NN NN NN NNP,pandas-main,test_query_eval.py
1000,My Dense,PRP$ JJ,keras-master,demo_custom_layer_backend_agnostic.py
1001,My Dropout,PRP$ NN,keras-master,demo_custom_layer_backend_agnostic.py
1002,My Model,PRP$ NN,keras-master,demo_custom_layer_backend_agnostic.py
1003,My Dense,PRP$ JJ,keras-master,demo_custom_tf_workflow.py
1004,My Model,PRP$ NN,keras-master,demo_custom_tf_workflow.py
1005,My Model,PRP$ NN,keras-master,demo_torch_multi_gpu.py
1006,My Dense,PRP$ JJ,keras-master,demo_custom_jax_workflow.py
1007,My Model,PRP$ NN,keras-master,demo_custom_jax_workflow.py
1008,My Model,PRP$ NN,keras-master,demo_subclass.py
1009,My Model,PRP$ NN,keras-master,demo_custom_torch_workflow.py
1010,Activity Regularization Layer,NN NN NN,keras-master,writing_a_custom_training_loop_in_tensorflow.py
1011,Custom Callback,JJ NN,keras-master,writing_your_own_callbacks.py
1012,Loss And Error Printing Callback,NN CC NN NN NN,keras-master,writing_your_own_callbacks.py
1013,Early Stopping At Min Loss,JJ VBG IN JJ NN,keras-master,writing_your_own_callbacks.py
1014,Custom Learning Rate Scheduler,JJ NN NN NN,keras-master,writing_your_own_callbacks.py
1015,Linear,JJ,keras-master,making_new_layers_and_models_via_subclassing.py
1016,Compute Sum,VB NN,keras-master,making_new_layers_and_models_via_subclassing.py
1017,Linear,JJ,keras-master,making_new_layers_and_models_via_subclassing.py
1018,Linear,JJ,keras-master,making_new_layers_and_models_via_subclassing.py
1019,MLP Block,NNP NN,keras-master,making_new_layers_and_models_via_subclassing.py
1020,Activity Regularization Layer,NN NN NN,keras-master,making_new_layers_and_models_via_subclassing.py
1021,Outer Layer,JJ NN,keras-master,making_new_layers_and_models_via_subclassing.py
1022,Outer Layer With Kernel Regularizer,JJ NN IN NN NN,keras-master,making_new_layers_and_models_via_subclassing.py
1023,Linear,JJ,keras-master,making_new_layers_and_models_via_subclassing.py
1024,Linear,JJ,keras-master,making_new_layers_and_models_via_subclassing.py
1025,Custom Dropout,JJ NN,keras-master,making_new_layers_and_models_via_subclassing.py
1026,Sampling,NN,keras-master,making_new_layers_and_models_via_subclassing.py
1027,Encoder,NN,keras-master,making_new_layers_and_models_via_subclassing.py
1028,Decoder,NN,keras-master,making_new_layers_and_models_via_subclassing.py
1029,Variational Auto Encoder,JJ JJ NN,keras-master,making_new_layers_and_models_via_subclassing.py
1030,Custom Model,JJ NN,keras-master,custom_train_step_in_jax.py
1031,Custom Model,JJ NN,keras-master,custom_train_step_in_jax.py
1032,Custom Model,JJ NN,keras-master,custom_train_step_in_jax.py
1033,My Layer,PRP$ NN,keras-master,understanding_masking_and_padding.py
1034,Temporal Split,JJ NN,keras-master,understanding_masking_and_padding.py
1035,Custom Embedding,JJ NN,keras-master,understanding_masking_and_padding.py
1036,My Activation,PRP$ NN,keras-master,understanding_masking_and_padding.py
1037,Temporal Softmax,JJ NNP,keras-master,understanding_masking_and_padding.py
1038,Activity Regularization Layer,NN NN NN,keras-master,writing_a_custom_training_loop_in_jax.py
1039,Custom Dense,JJ NNP,keras-master,functional_api.py
1040,Custom Dense,JJ NNP,keras-master,functional_api.py
1041,Custom RNN,JJ NNP,keras-master,functional_api.py
1042,Custom RNN,JJ NNP,keras-master,functional_api.py
1043,Activity Regularization Layer,NN NN NN,keras-master,writing_a_custom_training_loop_in_torch.py
1044,Custom Model,JJ NN,keras-master,custom_train_step_in_tensorflow.py
1045,Custom Model,JJ NN,keras-master,custom_train_step_in_tensorflow.py
1046,Custom Model,JJ NN,keras-master,custom_train_step_in_tensorflow.py
1047,Custom Model,JJ NN,keras-master,custom_train_step_in_tensorflow.py
1048,GAN,NNP,keras-master,custom_train_step_in_tensorflow.py
1049,Custom Model,JJ NN,keras-master,custom_train_step_in_torch.py
1050,Custom Model,JJ NN,keras-master,custom_train_step_in_torch.py
1051,Custom Model,JJ NN,keras-master,custom_train_step_in_torch.py
1052,Custom Model,JJ NN,keras-master,custom_train_step_in_torch.py
1053,GAN,NNP,keras-master,custom_train_step_in_torch.py
1054,Custom MSE,JJ NNP,keras-master,training_with_built_in_methods.py
1055,Categorical True Positives,JJ JJ NNS,keras-master,training_with_built_in_methods.py
1056,Activity Regularization Layer,NN NN NN,keras-master,training_with_built_in_methods.py
1057,Logistic Endpoint,JJ NN,keras-master,training_with_built_in_methods.py
1058,Example Py Dataset,NN NNP NN,keras-master,training_with_built_in_methods.py
1059,Example Torch Dataset,NN NNP NN,keras-master,training_with_built_in_methods.py
1060,Loss History,NN NN,keras-master,training_with_built_in_methods.py
1061,keras export,NNP NN,keras-master,api_export.py
1062,keras export,NNP NN,keras-master,api_export.py
1063,Example Model,NN NN,keras-master,cloning_test.py
1064,Clone Model Test,NN NN NN,keras-master,cloning_test.py
1065,Sequential,JJ,keras-master,sequential.py
1066,Model Test,NN NN,keras-master,model_test.py
1067,Multi Input Model,JJ NN NN,keras-master,model_test.py
1068,Custom Dense,JJ JJ,keras-master,model_test.py
1069,My Model,PRP$ NN,keras-master,model_test.py
1070,Nested Layer,JJ NN,keras-master,model_test.py
1071,Double Nested Layer,JJ JJ NN,keras-master,model_test.py
1072,Variable Mapping Test,JJ NN NN,keras-master,variable_mapping_test.py
1073,Functional,JJ,keras-master,functional.py
1074,Sequential Test,JJ NN,keras-master,sequential_test.py
1075,Dict Layer,NN NN,keras-master,sequential_test.py
1076,List Layer,NN NN,keras-master,sequential_test.py
1077,Dynamic Layer,JJ NN,keras-master,sequential_test.py
1078,Dict Layer,NN NN,keras-master,sequential_test.py
1079,Bad Layer,JJ NN,keras-master,sequential_test.py
1080,Model,NN,keras-master,model.py
1081,Functional Test,JJ NN,keras-master,functional_test.py
1082,Canary,NN,keras-master,functional_test.py
1083,Variable,NN,keras-master,exports.py
1084,name scope,NN NN,keras-master,exports.py
1085,JAX Trainer,NNP NN,keras-master,trainer.py
1086,JAX Epoch Iterator,NNP NN NN,keras-master,trainer.py
1087,Jax Layer,NNP NN,keras-master,layer.py
1088,Variable,NN,keras-master,core.py
1089,Jax Distribution Lib Test,NNP NN NN NN,keras-master,distribution_lib_test.py
1090,Sharding Capture Layer,NN NN NN,keras-master,distribution_lib_test.py
1091,Jax Optimizer,NNP NN,keras-master,optimizer.py
1092,Device Test,NN NN,keras-master,device_scope_test.py
1093,Compute Output Spec Test,NN NN JJ NN,keras-master,compute_output_spec_test.py
1094,Tensor Flow Trainer,NN NN NNP,keras-master,trainer.py
1095,Deprecated Compiled Metric,VBN VBN NN,keras-master,trainer.py
1096,TF Epoch Iterator,NNP NN NN,keras-master,trainer.py
1097,TF Layer,NNP NN,keras-master,layer.py
1098,Variable,NN,keras-master,core.py
1099,name scope,NN NN,keras-master,core.py
1100,Optimizer Distribute Test,NN VB NN,keras-master,optimizer_distribute_test.py
1101,TF Name Scope Test,NNP NN NN NN,keras-master,name_scope_test.py
1102,Custom Model X,JJ NN FW,keras-master,saved_model_test.py
1103,Custom Signature Model,JJ NN NN,keras-master,saved_model_test.py
1104,Saved Model Test,VBN NN NN,keras-master,saved_model_test.py
1105,Custom Layer,JJ NN,keras-master,saved_model_test.py
1106,Model,NN,keras-master,saved_model_test.py
1107,Custom Layer,JJ NN,keras-master,saved_model_test.py
1108,Custom Model,JJ NN,keras-master,saved_model_test.py
1109,Custom Layer List,JJ NN NN,keras-master,saved_model_test.py
1110,Custom Layer Dict,JJ NN NN,keras-master,saved_model_test.py
1111,Adder,NN,keras-master,saved_model_test.py
1112,Adder,NN,keras-master,saved_model_test.py
1113,Distribute Test,VB NN,keras-master,distribute_test.py
1114,TF Optimizer,NNP NN,keras-master,optimizer.py
1115,Keras Auto Trackable,NNP JJ JJ,keras-master,trackable.py
1116,Torch Trainer,NNP NN,keras-master,trainer.py
1117,Torch Epoch Iterator,NNP NN NN,keras-master,trainer.py
1118,Torch Layer,NNP NN,keras-master,layer.py
1119,Variable,NN,keras-master,core.py
1120,custom gradient,JJ NN,keras-master,core.py
1121,Custom Gradient Function,JJ NN NN,keras-master,core.py
1122,Adam,NNP,keras-master,torch_adam.py
1123,Lion,NNP,keras-master,torch_lion.py
1124,Torch Optimizer,NNP NN,keras-master,torch_optimizer.py
1125,Adam W,NNP FW,keras-master,torch_adamw.py
1126,Nadam,NNP,keras-master,torch_nadam.py
1127,RMS prop,NNP NN,keras-master,torch_rmsprop.py
1128,Ada grad,NNP NN,keras-master,torch_adagrad.py
1129,Ada max,NNP NN,keras-master,torch_adamax.py
1130,SGD,NNP,keras-master,torch_sgd.py
1131,Torch Parallel Optimizer,NNP JJ NN,keras-master,torch_parallel_optimizer.py
1132,Ada delta,NNP NN,keras-master,torch_adadelta.py
1133,Numpy Trainer,NNP NN,keras-master,trainer.py
1134,Numpy Layer,NNP NN,keras-master,layer.py
1135,Variable,NN,keras-master,core.py
1136,Keras Variable,NNP NN,keras-master,variables.py
1137,Auto cast Scope,JJ NN NN,keras-master,variables.py
1138,Variable Initialization Test,NN NN NN,keras-master,variables_test.py
1139,Variable Properties Test,NN NNS NN,keras-master,variables_test.py
1140,Variable Numpy Value And Assignment Test,NN NNP NN CC NN NN,keras-master,variables_test.py
1141,Variable D type Shape N dim Repr,NN FW NN NN FW NN NNP,keras-master,variables_test.py
1142,Variable Operations Test,NN NNPS NN,keras-master,variables_test.py
1143,Variable Binary Operations Test,NN JJ NNPS NN,keras-master,variables_test.py
1144,Test Standardize Shape With Torch,VB VB NN IN NNP,keras-master,variables_test.py
1145,Test Standardize Shape With Out Torch,VB VB NN IN RP NNP,keras-master,variables_test.py
1146,Keras Tensor Test,NNP NN NN,keras-master,keras_tensor_test.py
1147,Convert Conv Transpose Padding Args JAX Test,VB NN NN NN NNP NNP NN,keras-master,backend_utils_test.py
1148,Convert Conv Transpose Padding Args Torch Test,VB NN NN NN NNP NNP NN,keras-master,backend_utils_test.py
1149,Compute Conv Transpose Padding Args For JAX Test,VB NN NN NN NNP IN NNP NN,keras-master,backend_utils_test.py
1150,Compute Conv Transpose Padding Args For Torch Test,VB NN NN NN NNP IN NNP NN,keras-master,backend_utils_test.py
1151,Get Output Shape Given TF Padding Test,VB NN NN VBN NNP NN NN,keras-master,backend_utils_test.py
1152,D types Test,FW NNS NN,keras-master,dtypes_test.py
1153,Test Stateless Scope,VB JJ NN,keras-master,stateless_scope_test.py
1154,Global State Test,JJ NN NN,keras-master,global_state_test.py
1155,name scope,NN NN,keras-master,name_scope.py
1156,Stateless Scope,JJ NN,keras-master,stateless_scope.py
1157,Name Scope Test,NN NN NN,keras-master,name_scope_test.py
1158,Keras Tensor,NNP NN,keras-master,keras_tensor.py
1159,Compute Output Spec Test,NN NN JJ NN,keras-master,compute_output_spec_test.py
1160,Container,NN,keras-master,compute_output_spec_test.py
1161,Random Layer,JJ NN,keras-master,export_lib_test.py
1162,Export Archive Test,NN NN NN,keras-master,export_lib_test.py
1163,My Model,PRP$ NN,keras-master,export_lib_test.py
1164,Custom Model X,JJ NN FW,keras-master,export_lib_test.py
1165,Test TFSM Layer,VB NNP NN,keras-master,export_lib_test.py
1166,Export Archive,VB NN,keras-master,export_lib.py
1167,TFSM Layer,NNP NN,keras-master,export_lib.py
1168,Serializable Dict,JJ NN,keras-master,serialization_lib.py
1169,Safe Mode Scope,JJ NN NN,keras-master,serialization_lib.py
1170,Object Sharing Scope,NN NN NN,keras-master,serialization_lib.py
1171,Disk IO Store,NN NNP NN,keras-master,saving_lib.py
1172,H 5 IO Store,FW CD NNP NN,keras-master,saving_lib.py
1173,H 5 Entry,FW CD NN,keras-master,saving_lib.py
1174,Npz IO Store,NNP NNP NN,keras-master,saving_lib.py
1175,Custom Object Scope,JJ NN NN,keras-master,object_registration.py
1176,My Dense,PRP$ JJ,keras-master,saving_lib_test.py
1177,Layer With Custom Saving,NN IN JJ NN,keras-master,saving_lib_test.py
1178,Custom Model X,JJ NN FW,keras-master,saving_lib_test.py
1179,Model With Custom Saving,NN IN JJ NN,keras-master,saving_lib_test.py
1180,Compile Overriding Model,VB JJ NN,keras-master,saving_lib_test.py
1181,Compile Overriding Sequential,VB JJ JJ,keras-master,saving_lib_test.py
1182,Subclass Functional,NN JJ,keras-master,saving_lib_test.py
1183,Saving Test,VBG NN,keras-master,saving_lib_test.py
1184,Saving API Test,VBG NNP NN,keras-master,saving_lib_test.py
1185,Growth Factor,NN NN,keras-master,saving_lib_test.py
1186,Factor Layer,NN NN,keras-master,saving_lib_test.py
1187,Complex Model,JJ NN,keras-master,saving_lib_test.py
1188,Saving Battle Test,VBG NN NN,keras-master,saving_lib_test.py
1189,Normal Model,JJ NN,keras-master,saving_lib_test.py
1190,Weird Model,JJ NN,keras-master,saving_lib_test.py
1191,Save Model Tests,VB NN NNS,keras-master,saving_api_test.py
1192,Load Model Tests,VB NN NNS,keras-master,saving_api_test.py
1193,Custom Layer,JJ NN,keras-master,saving_api_test.py
1194,Load Weights Tests,VB NNS NNS,keras-master,saving_api_test.py
1195,Save Model Tests Warning,VB NN NNS NN,keras-master,saving_api_test.py
1196,Custom Layer,JJ NN,keras-master,serialization_lib_test.py
1197,Nested Custom Layer,JJ JJ NN,keras-master,serialization_lib_test.py
1198,Wrapper Layer,NN NN,keras-master,serialization_lib_test.py
1199,Serialization Lib Test,NN NN NN,keras-master,serialization_lib_test.py
1200,Plain Functional Subclass,JJ JJ NN,keras-master,serialization_lib_test.py
1201,Functional Subclass W Custom Init,JJ NN FW JJ NN,keras-master,serialization_lib_test.py
1202,My Layer,PRP$ NN,keras-master,serialization_lib_test.py
1203,Shared Activation,JJ NN,keras-master,serialization_lib_test.py
1204,My Dense,PRP$ JJ,keras-master,serialization_lib_test.py
1205,My Wrapper,PRP$ NN,keras-master,serialization_lib_test.py
1206,Test Object Registration,VB NN NN,keras-master,object_registration_test.py
1207,Custom Class,JJ NN,keras-master,object_registration_test.py
1208,Test Class,NN NN,keras-master,object_registration_test.py
1209,Other Test Class,JJ NN NN,keras-master,object_registration_test.py
1210,Test Class,NN NN,keras-master,object_registration_test.py
1211,Alpha Dropout,NN NN,keras-master,layers.py
1212,Random Height,JJ NN,keras-master,layers.py
1213,Random Width,JJ NN,keras-master,layers.py
1214,Thresholded Re LU,VBN NNP NNP,keras-master,layers.py
1215,Reduction,NN,keras-master,losses.py
1216,Timeseries Generator,NNS NN,keras-master,sequence.py
1217,Iterator,NN,keras-master,image.py
1218,Batch From Files Mixin,NN IN NNS NN,keras-master,image.py
1219,Directory Iterator,NN NN,keras-master,image.py
1220,Numpy Array Iterator,NNP NN NN,keras-master,image.py
1221,Data Frame Iterator,NN NN NN,keras-master,image.py
1222,Image Data Generator,NN NN NN,keras-master,image.py
1223,Tokenizer,NN,keras-master,text.py
1224,Json Utils Test All Backends,NNP NNS NN DT NNS,keras-master,json_utils_test.py
1225,Enum,NN,keras-master,json_utils_test.py
1226,Json Utils Test TF,NNP NNS NN NNP,keras-master,json_utils_test.py
1227,Masked Tensor,VBN NN,keras-master,json_utils_test.py
1228,Disable Shared Object Scope,VB VBN NN NN,keras-master,serialization.py
1229,Noop Loading Scope,NN NN NN,keras-master,serialization.py
1230,Shared Object Loading Scope,VBN NN NN NN,keras-master,serialization.py
1231,Shared Object Config,VBN NN NN,keras-master,serialization.py
1232,Shared Object Saving Scope,VBN NN NN NN,keras-master,serialization.py
1233,Encoder,NN,keras-master,json_utils.py
1234,My Model,PRP$ NN,keras-master,legacy_h5_format_test.py
1235,Legacy H 5 Weights Test,NN FW CD NNS NN,keras-master,legacy_h5_format_test.py
1236,Legacy H 5 Whole Model Test,NN FW CD JJ NN NN,keras-master,legacy_h5_format_test.py
1237,My Dense,PRP$ JJ,keras-master,legacy_h5_format_test.py
1238,My Dense,PRP$ JJ,keras-master,legacy_h5_format_test.py
1239,My Layer,PRP$ NN,keras-master,legacy_h5_format_test.py
1240,Registered Sub Layer,JJ NN NN,keras-master,legacy_h5_format_test.py
1241,Legacy H 5 Backwards Compat Test,NN FW CD NNS NN NN,keras-master,legacy_h5_format_test.py
1242,My Dense,PRP$ JJ,keras-master,legacy_h5_format_test.py
1243,My Dense,PRP$ JJ,keras-master,legacy_h5_format_test.py
1244,My Dense,PRP$ JJ,keras-master,legacy_h5_format_test.py
1245,My Dense,PRP$ JJ,keras-master,legacy_h5_format_test.py
1246,My Layer,PRP$ NN,keras-master,legacy_h5_format_test.py
1247,Registered Sub Layer,JJ NN NN,keras-master,legacy_h5_format_test.py
1248,My Layer,PRP$ NN,keras-master,legacy_h5_format_test.py
1249,Registered Sub Layer,JJ NN NN,keras-master,legacy_h5_format_test.py
1250,Directory Creation Test,NN NN NN,keras-master,legacy_h5_format_test.py
1251,Re LU,NNP NNP,keras-master,activations.py
1252,Mish,NNP,keras-master,activations.py
1253,Activations Test,NNS NN,keras-master,activations_test.py
1254,Loss,NN,keras-master,loss.py
1255,Example Loss,NN NN,keras-master,loss_test.py
1256,Loss Test,NN NN,keras-master,loss_test.py
1257,Mean Squared Error Test,JJ JJ NN NN,keras-master,losses_test.py
1258,Mean Absolute Error Test,JJ JJ NN NN,keras-master,losses_test.py
1259,Mean Absolute Percentage Error Test,JJ JJ NN NN NN,keras-master,losses_test.py
1260,Mean Squared Logarithmic Error Test,JJ JJ JJ NN NN,keras-master,losses_test.py
1261,Hinge Test,NN NN,keras-master,losses_test.py
1262,Squared Hinge Test,JJ NN NN,keras-master,losses_test.py
1263,Categorical Hinge Test,JJ NN NN,keras-master,losses_test.py
1264,Cosine Similarity Test,NN NN NN,keras-master,losses_test.py
1265,Huber Loss Test,NNP NNP NN,keras-master,losses_test.py
1266,Log Cosh Test,NN NN NN,keras-master,losses_test.py
1267,KL Divergence Test,NNP NN NN,keras-master,losses_test.py
1268,Poisson Test,NN NN,keras-master,losses_test.py
1269,Binary Crossentropy Test,JJ NNP NN,keras-master,losses_test.py
1270,Categorical Crossentropy Test,JJ NNP NN,keras-master,losses_test.py
1271,Sparse Categorical Crossentropy Test,JJ JJ NNP NN,keras-master,losses_test.py
1272,Binary Focal Crossentropy Test,JJ JJ NNP NN,keras-master,losses_test.py
1273,Categorical Focal Crossentropy Test,JJ JJ NNP NN,keras-master,losses_test.py
1274,CTC Test,NNP NN,keras-master,losses_test.py
1275,Dice Test,NN NN,keras-master,losses_test.py
1276,Loss Function Wrapper,NN NN NN,keras-master,losses.py
1277,Mean Squared Error,JJ JJ NN,keras-master,losses.py
1278,Mean Absolute Error,JJ JJ NN,keras-master,losses.py
1279,Mean Absolute Percentage Error,JJ JJ NN NN,keras-master,losses.py
1280,Mean Squared Logarithmic Error,JJ JJ JJ NN,keras-master,losses.py
1281,Cosine Similarity,NN NN,keras-master,losses.py
1282,Huber,NNP,keras-master,losses.py
1283,Log Cosh,NN NNP,keras-master,losses.py
1284,Hinge,NN,keras-master,losses.py
1285,Squared Hinge,JJ NN,keras-master,losses.py
1286,Categorical Hinge,JJ NN,keras-master,losses.py
1287,KL Divergence,NNP NN,keras-master,losses.py
1288,Poisson,NN,keras-master,losses.py
1289,Binary Crossentropy,JJ NNP,keras-master,losses.py
1290,Binary Focal Crossentropy,JJ JJ NNP,keras-master,losses.py
1291,Categorical Crossentropy,JJ NNP,keras-master,losses.py
1292,Categorical Focal Crossentropy,JJ JJ NNP,keras-master,losses.py
1293,Sparse Categorical Crossentropy,JJ JJ NNP,keras-master,losses.py
1294,CTC,NNP,keras-master,losses.py
1295,Dice,NN,keras-master,losses.py
1296,Device Mesh,NN NN,keras-master,distribution_lib.py
1297,Tensor Layout,NNP NN,keras-master,distribution_lib.py
1298,Distribution,NN,keras-master,distribution_lib.py
1299,Data Parallel,NNS NN,keras-master,distribution_lib.py
1300,Model Parallel,NN NN,keras-master,distribution_lib.py
