ID,SEQUENCE,POS,PROJECT,FILE
3581,get documentation url,VB NN NNP,intellij-community,ApplicationInfoImpl.java
3582,get support url,VB NN NNP,intellij-community,ApplicationInfoImpl.java
3583,get e a p feedback url,VB NN NN NN NN NNP,intellij-community,ApplicationInfoImpl.java
3584,get release feedback url,VB NN NN NNP,intellij-community,ApplicationInfoImpl.java
3585,get plugin manager url,VB NN NN NNP,intellij-community,ApplicationInfoImpl.java
3586,get plugins list url,VB NNS NN NNP,intellij-community,ApplicationInfoImpl.java
3587,get channels list url,VB NNS NN NNP,intellij-community,ApplicationInfoImpl.java
3588,get plugins download url,VB NNS NN NNP,intellij-community,ApplicationInfoImpl.java
3589,get builtin plugins url,VB JJ NNS NNP,intellij-community,ApplicationInfoImpl.java
3590,get web help url,VB NN NN NNP,intellij-community,ApplicationInfoImpl.java
3591,has help,VBZ NN,intellij-community,ApplicationInfoImpl.java
3592,has context help,VBZ NN NN,intellij-community,ApplicationInfoImpl.java
3593,get whats new url,VB NNS JJ NNP,intellij-community,ApplicationInfoImpl.java
3594,get win keymap url,VB NN NN NNP,intellij-community,ApplicationInfoImpl.java
3595,get mac keymap url,VB NN NN NNP,intellij-community,ApplicationInfoImpl.java
3596,get about foreground,VB IN NN,intellij-community,ApplicationInfoImpl.java
3597,get about link color,VB IN NN NN,intellij-community,ApplicationInfoImpl.java
3598,get full application name,VB JJ NN NN,intellij-community,ApplicationInfoImpl.java
3599,show licensee info,VB NN JJ,intellij-community,ApplicationInfoImpl.java
3600,get statistics settings url,VB NNS NNS NNP,intellij-community,ApplicationInfoImpl.java
3601,get statistics service url,VB NNS NN NNP,intellij-community,ApplicationInfoImpl.java
3602,get statistics service key,VB NNS NN NN,intellij-community,ApplicationInfoImpl.java
3603,get third party software u r l,VB JJ NN NN NN NN NN,intellij-community,ApplicationInfoImpl.java
3604,get jetbrains tv url,VB NNP NN NNP,intellij-community,ApplicationInfoImpl.java
3605,get eval license url,VB NN NN NNP,intellij-community,ApplicationInfoImpl.java
3606,get key conversion url,VB NN NN NNP,intellij-community,ApplicationInfoImpl.java
3607,get about logo rect,VB IN NN NN,intellij-community,ApplicationInfoImpl.java
3608,is beta or r c,VBZ NN CC FW FW,intellij-community,ApplicationInfoImpl.java
3609,get shadow instance,VB NN NN,intellij-community,ApplicationInfoImpl.java
3610,load state,VB NN,intellij-community,ApplicationInfoImpl.java
3611,fun,NN,intellij-community,ApplicationInfoImpl.java
3612,set build number,VB NN NN,intellij-community,ApplicationInfoImpl.java
3613,parse date,VB NN,intellij-community,ApplicationInfoImpl.java
3614,parse color,VB NN,intellij-community,ApplicationInfoImpl.java
3615,get plugin chooser pages,VB NN NN NNS,intellij-community,ApplicationInfoImpl.java
3616,is essential plugin,VBZ JJ NN,intellij-community,ApplicationInfoImpl.java
3617,get checking url,VB NN NNP,intellij-community,ApplicationInfoImpl.java
3618,get patches url,VB NNS NNP,intellij-community,ApplicationInfoImpl.java
3619,get title,VB NN,intellij-community,ApplicationInfoImpl.java
3620,get category,VB NN,intellij-community,ApplicationInfoImpl.java
3621,get dependent plugin,VB JJ NN,intellij-community,ApplicationInfoImpl.java
3622,is in performance test,VBZ IN NN NN,intellij-community,ApplicationInfoImpl.java
3623,set in performance test,VB IN NN NN,intellij-community,ApplicationInfoImpl.java
3624,before,IN,intellij-community,Svn18TestSuite.java
3625,after,IN,intellij-community,Svn18TestSuite.java
3626,get extension points,VB NN NNS,intellij-community,ExtensionPoints.java
3627,add extension point,VB NN NN,intellij-community,ExtensionPoints.java
3628,caret position changed,NN NN VBN,intellij-community,CaretAdapter.java
3629,caret added,NN VBN,intellij-community,CaretAdapter.java
3630,caret removed,NN VBN,intellij-community,CaretAdapter.java
3631,foo,NNP,intellij-community,AddException_after.java
3632,bar,NN,intellij-community,AddException_after.java
3633,is selected,VBZ VBN,intellij-community,SortByRatingAction.java
3634,set selected,VB JJ,intellij-community,SortByRatingAction.java
3635,create settings page,VB NNS NN,intellij-community,XmlCodeStyleSettingsProvider.java
3636,create panel,VB NN,intellij-community,XmlCodeStyleSettingsProvider.java
3637,get help topic,VB NN NN,intellij-community,XmlCodeStyleSettingsProvider.java
3638,get configurable display name,VB JJ NN NN,intellij-community,XmlCodeStyleSettingsProvider.java
3639,create custom settings,VB NN NNS,intellij-community,XmlCodeStyleSettingsProvider.java
3640,get new method options,VB JJ NN NNS,intellij-community,PolicyOptions.java
3641,get conflict options,VB NN NNS,intellij-community,PolicyOptions.java
3642,add default vcs roots,VB JJ NNP NNS,intellij-community,BasicDefaultVcsRootPolicy.java
3643,matches default mapping,VBZ JJ NN,intellij-community,BasicDefaultVcsRootPolicy.java
3644,get match context,VB NN NN,intellij-community,BasicDefaultVcsRootPolicy.java
3645,get vcs root for,VB NNP NN IN,intellij-community,BasicDefaultVcsRootPolicy.java
3646,get dirty roots,VB JJ NNS,intellij-community,BasicDefaultVcsRootPolicy.java
3647,write to stream,VB TO NN,intellij-community,INVOKEDYNAMIC.java
3648,length,NN,intellij-community,INVOKEDYNAMIC.java
3649,action performed,NN VBN,intellij-community,ShowCoveringTestsAction.java
3650,run,VB,intellij-community,ShowCoveringTestsAction.java
3651,process,VB,intellij-community,ShowCoveringTestsAction.java
3652,extract tests,VB NNS,intellij-community,ShowCoveringTestsAction.java
3653,update,VB,intellij-community,ShowCoveringTestsAction.java
3654,get trace files,VB NN NNS,intellij-community,ShowCoveringTestsAction.java
3655,get text,VB NN,intellij-community,InsertSuperFix.java
3656,get family name,VB NN NN,intellij-community,InsertSuperFix.java
3657,is available,VBZ JJ,intellij-community,InsertSuperFix.java
3658,invoke,VB,intellij-community,InsertSuperFix.java
3659,start in write action,VB IN VB NN,intellij-community,InsertSuperFix.java
3660,parse,VB,intellij-community,beforeSenselessStaticFix.java
3661,main,NN,intellij-community,beforeSenselessStaticFix.java
3662,build fix,VB NN,intellij-community,ClassNamePrefixedWithPackageNameInspection.java
3663,find possible scopes,VB JJ NNS,intellij-community,GrIntroduceVariableHandler.java
3664,check expression,VB NN,intellij-community,GrIntroduceVariableHandler.java
3665,check variable,VB NN,intellij-community,GrIntroduceVariableHandler.java
3666,check string literal,VB NN JJ,intellij-community,GrIntroduceVariableHandler.java
3667,check occurrences,VB NNS,intellij-community,GrIntroduceVariableHandler.java
3668,check in field initializer,VB IN NN NN,intellij-community,GrIntroduceVariableHandler.java
3669,run refactoring,VB NN,intellij-community,GrIntroduceVariableHandler.java
3670,move offset to position marker,VB NN TO NN NN,intellij-community,GrIntroduceVariableHandler.java
3671,get introducer,VB NN,intellij-community,GrIntroduceVariableHandler.java
3672,run refactoring,VB NN,intellij-community,GrIntroduceVariableHandler.java
3673,perform post introduce tasks,VB NN VB NNS,intellij-community,GrIntroduceVariableHandler.java
3674,add variable,VB NN,intellij-community,GrIntroduceVariableHandler.java
3675,show scope chooser,VB NN NN,intellij-community,GrIntroduceVariableHandler.java
3676,generate declaration,VB NN,intellij-community,GrIntroduceVariableHandler.java
3677,process expression,VB NN,intellij-community,GrIntroduceVariableHandler.java
3678,do process expression,VB VB NN,intellij-community,GrIntroduceVariableHandler.java
3679,refresh position marker,VB NN NN,intellij-community,GrIntroduceVariableHandler.java
3680,generate initializer,VB NN,intellij-community,GrIntroduceVariableHandler.java
3681,refresh position marker,VB NN NN,intellij-community,GrIntroduceVariableHandler.java
3682,get position marker,VB NN NN,intellij-community,GrIntroduceVariableHandler.java
3683,get refactoring name,VB NN NN,intellij-community,GrIntroduceVariableHandler.java
3684,get help id,VB NN NN,intellij-community,GrIntroduceVariableHandler.java
3685,get dialog,VB NN,intellij-community,GrIntroduceVariableHandler.java
3686,is generated source,VBZ VBN NN,intellij-community,IconsGeneratedSourcesFilter.java
3687,compute,VB,intellij-community,IconsGeneratedSourcesFilter.java
3688,test 1,NN CD,intellij-community,SelectedBlockHistoryTest.java
3689,test 2,NN CD,intellij-community,SelectedBlockHistoryTest.java
3690,test 3,NN CD,intellij-community,SelectedBlockHistoryTest.java
3691,test 4,NN CD,intellij-community,SelectedBlockHistoryTest.java
3692,test 5,NN CD,intellij-community,SelectedBlockHistoryTest.java
3693,test 6,NN CD,intellij-community,SelectedBlockHistoryTest.java
3694,test 7,NN CD,intellij-community,SelectedBlockHistoryTest.java
3695,test 8,NN CD,intellij-community,SelectedBlockHistoryTest.java
3696,test 9,NN CD,intellij-community,SelectedBlockHistoryTest.java
3697,test 1 0,NN CD CD,intellij-community,SelectedBlockHistoryTest.java
3698,test 1 1,NN CD CD,intellij-community,SelectedBlockHistoryTest.java
3699,test 1 2,NN CD CD,intellij-community,SelectedBlockHistoryTest.java
3700,test 1 3,NN CD CD,intellij-community,SelectedBlockHistoryTest.java
3701,test 1 4,NN CD CD,intellij-community,SelectedBlockHistoryTest.java
3702,test content,VB NN,intellij-community,SelectedBlockHistoryTest.java
3703,do test,VB NN,intellij-community,SelectedBlockHistoryTest.java
3704,compose version,VB NN,intellij-community,SelectedBlockHistoryTest.java
3705,execute,VB,intellij-community,EditCommand.java
3706,add request for file,VB NN IN NN,intellij-community,EditCommand.java
3707,get cvs command line,VB NNP NN NN,intellij-community,EditCommand.java
3708,reset cvs command,VB NNP NN,intellij-community,EditCommand.java
3709,get cvs arguments,VB NNP NNS,intellij-community,EditCommand.java
3710,is check that unedited,VBZ NN IN VBD,intellij-community,EditCommand.java
3711,set check that unedited,VB NN IN VBD,intellij-community,EditCommand.java
3712,is force even if edited,VBZ NN RB IN VBD,intellij-community,EditCommand.java
3713,set force even if edited,VB NN RB IN VBD,intellij-community,EditCommand.java
3714,get temporary watch,VB JJ NN,intellij-community,EditCommand.java
3715,set temporary watch,VB JJ NN,intellij-community,EditCommand.java
3716,compute constant expression,VB JJ NN,intellij-community,ExpressionUtils.java
3717,compute constant expression,VB JJ NN,intellij-community,ExpressionUtils.java
3718,is constant,VBZ NN,intellij-community,ExpressionUtils.java
3719,has expression count,VBZ NN NN,intellij-community,ExpressionUtils.java
3720,get first expression in list,VB JJ NN IN NN,intellij-community,ExpressionUtils.java
3721,get only expression in list,VB JJ NN IN NN,intellij-community,ExpressionUtils.java
3722,is declared constant,VBZ JJ NN,intellij-community,ExpressionUtils.java
3723,is evaluated at compile time,VBZ VBN IN VB NN,intellij-community,ExpressionUtils.java
3724,get literal string,VB JJ NN,intellij-community,ExpressionUtils.java
3725,get literal,VB JJ,intellij-community,ExpressionUtils.java
3726,is literal,VBZ JJ,intellij-community,ExpressionUtils.java
3727,is empty string literal,VBZ JJ NN JJ,intellij-community,ExpressionUtils.java
3728,is null literal,VBZ JJ JJ,intellij-community,ExpressionUtils.java
3729,is zero,VBZ CD,intellij-community,ExpressionUtils.java
3730,is one,VBZ CD,intellij-community,ExpressionUtils.java
3731,is negation,VBZ NN,intellij-community,ExpressionUtils.java
3732,is zero literal,VBZ CD JJ,intellij-community,ExpressionUtils.java
3733,is offset array access,VBZ JJ NN NN,intellij-community,ExpressionUtils.java
3734,expression is offset variable lookup,NN VBZ JJ NN NN,intellij-community,ExpressionUtils.java
3735,is variable less than comparison,VBZ NN JJR IN NN,intellij-community,ExpressionUtils.java
3736,is variable greater than comparison,VBZ NN JJR IN NN,intellij-community,ExpressionUtils.java
3737,is zero length array construction,VBZ CD NN NN NN,intellij-community,ExpressionUtils.java
3738,is string concatenation operand,VBZ NN NN NN,intellij-community,ExpressionUtils.java
3739,is constructor invocation,VBZ NN NN,intellij-community,ExpressionUtils.java
3740,has type,VBZ NN,intellij-community,ExpressionUtils.java
3741,has string type,VBZ NN NN,intellij-community,ExpressionUtils.java
3742,is conversion to string necessary,VBZ NN TO NN JJ,intellij-community,ExpressionUtils.java
3743,is call to method in,VBZ NN TO NN IN,intellij-community,ExpressionUtils.java
3744,is negative,VBZ JJ,intellij-community,ExpressionUtils.java
3745,get variable from null comparison,VB NN IN JJ NN,intellij-community,ExpressionUtils.java
3746,get variable,VB NN,intellij-community,ExpressionUtils.java
3747,is concatenation,VBZ NN,intellij-community,ExpressionUtils.java
3748,is annotated not null,VBZ JJ RB JJ,intellij-community,ExpressionUtils.java
3749,is annotated nullable,VBZ JJ JJ,intellij-community,ExpressionUtils.java
3750,is annotated,VBZ JJ,intellij-community,ExpressionUtils.java
3751,copy text file to location,VB NN NN TO NN,intellij-community,ReceiveTextFilePreprocessor.java
3752,get line separator for,VB NN NN IN,intellij-community,ReceiveTextFilePreprocessor.java
3753,save line separator for file,VB NN NN IN NN,intellij-community,ReceiveTextFilePreprocessor.java
3754,test lambda conversion bug,VB NN NN NN,intellij-community,afterConflictingLocal1.java
3755,foo,NNP,intellij-community,C1.java
3756,is empty,VBZ JJ,intellij-community,PathMapper.java
3757,can replace local,VB VBP JJ,intellij-community,PathMapper.java
3758,convert to local,VB TO JJ,intellij-community,PathMapper.java
3759,can replace remote,VB VBP JJ,intellij-community,PathMapper.java
3760,convert to remote,VB TO JJ,intellij-community,PathMapper.java
3761,convert to remote,VB TO JJ,intellij-community,PathMapper.java
3762,foo,NNP,intellij-community,MethodReturnOfConcreteClassInspection.java
3763,barangus,NN,intellij-community,MethodReturnOfConcreteClassInspection.java
3764,barangus,NN,intellij-community,MethodReturnOfConcreteClassInspection.java
3765,get id,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
3766,get icon,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
3767,get task icon,VB NN NN,intellij-community,RunConfigurationBeforeRunProvider.java
3768,get name,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
3769,get description,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
3770,is configurable,VBZ JJ,intellij-community,RunConfigurationBeforeRunProvider.java
3771,create task,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
3772,configure task,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
3773,get available configurations,VB JJ NNS,intellij-community,RunConfigurationBeforeRunProvider.java
3774,can execute task,VB VBP NN,intellij-community,RunConfigurationBeforeRunProvider.java
3775,execute task,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
3776,process start scheduled,NN VB JJ,intellij-community,RunConfigurationBeforeRunProvider.java
3777,process not started,NN RB VBN,intellij-community,RunConfigurationBeforeRunProvider.java
3778,process started,NN VBN,intellij-community,RunConfigurationBeforeRunProvider.java
3779,process terminated,NN VBN,intellij-community,RunConfigurationBeforeRunProvider.java
3780,run,VB,intellij-community,RunConfigurationBeforeRunProvider.java
3781,before run,IN VB,intellij-community,RunConfigurationBeforeRunProvider.java
3782,write external,VB JJ,intellij-community,RunConfigurationBeforeRunProvider.java
3783,read external,VB JJ,intellij-community,RunConfigurationBeforeRunProvider.java
3784,init,VB,intellij-community,RunConfigurationBeforeRunProvider.java
3785,set settings,VB NNS,intellij-community,RunConfigurationBeforeRunProvider.java
3786,get settings,VB NNS,intellij-community,RunConfigurationBeforeRunProvider.java
3787,equals,VBZ,intellij-community,RunConfigurationBeforeRunProvider.java
3788,hash code,NN NN,intellij-community,RunConfigurationBeforeRunProvider.java
3789,mouse clicked,NN VBN,intellij-community,RunConfigurationBeforeRunProvider.java
3790,get dimension service key,VB NN NN NN,intellij-community,RunConfigurationBeforeRunProvider.java
3791,create center panel,VB NN NN,intellij-community,RunConfigurationBeforeRunProvider.java
3792,value changed,NN VBN,intellij-community,RunConfigurationBeforeRunProvider.java
3793,customize cell renderer,VB NN NN,intellij-community,RunConfigurationBeforeRunProvider.java
3794,get selected settings,VB JJ NNS,intellij-community,RunConfigurationBeforeRunProvider.java
3795,add import candidates,VB NN NNS,intellij-community,PyImportCandidateProvider.java
3796,get key,VB NN,intellij-community,PySuperClassIndex.java
3797,get instance,VB NN,intellij-community,IpnbConnectionManager.java
3798,execute cell,VB NN,intellij-community,IpnbConnectionManager.java
3799,start connection,VB NN,intellij-community,IpnbConnectionManager.java
3800,run,VB,intellij-community,IpnbConnectionManager.java
3801,run,VB,intellij-community,IpnbConnectionManager.java
3802,run,VB,intellij-community,IpnbConnectionManager.java
3803,show dialog url,VB NN NNP,intellij-community,IpnbConnectionManager.java
3804,check input,VB NN,intellij-community,IpnbConnectionManager.java
3805,can close,MD VB,intellij-community,IpnbConnectionManager.java
3806,start connection,VB NN,intellij-community,IpnbConnectionManager.java
3807,on open,IN NN,intellij-community,IpnbConnectionManager.java
3808,on output,IN NN,intellij-community,IpnbConnectionManager.java
3809,on payload,IN NN,intellij-community,IpnbConnectionManager.java
3810,get connection,VB NN,intellij-community,IpnbConnectionManager.java
3811,interrupt kernel,VB NN,intellij-community,IpnbConnectionManager.java
3812,reload kernel,VB NN,intellij-community,IpnbConnectionManager.java
3813,show warning,VB NN,intellij-community,IpnbConnectionManager.java
3814,run,VB,intellij-community,IpnbConnectionManager.java
3815,start ipython server,VB NNP NN,intellij-community,IpnbConnectionManager.java
3816,do destroy process,VB VB NN,intellij-community,IpnbConnectionManager.java
3817,is silently destroy on close,VBZ RB VB IN NN,intellij-community,IpnbConnectionManager.java
3818,run,VB,intellij-community,IpnbConnectionManager.java
3819,run,VB,intellij-community,IpnbConnectionManager.java
3820,run,VB,intellij-community,IpnbConnectionManager.java
3821,compute,VB,intellij-community,IpnbConnectionManager.java
3822,find i python runner,VB NN NN NN,intellij-community,IpnbConnectionManager.java
3823,get host port from url,VB NN NN IN NNP,intellij-community,IpnbConnectionManager.java
3824,project opened,NN VBN,intellij-community,IpnbConnectionManager.java
3825,project closed,NN VBN,intellij-community,IpnbConnectionManager.java
3826,shutdown kernels,VB NNS,intellij-community,IpnbConnectionManager.java
3827,get component name,VB NN NN,intellij-community,IpnbConnectionManager.java
3828,init component,VB NN,intellij-community,IpnbConnectionManager.java
3829,dispose component,VB NN,intellij-community,IpnbConnectionManager.java
3830,hyperlink activated,NN VBN,intellij-community,IpnbConnectionManager.java
3831,get category,VB NN,intellij-community,CompilerMessageImpl.java
3832,get message,VB NN,intellij-community,CompilerMessageImpl.java
3833,get navigatable,VB JJ,intellij-community,CompilerMessageImpl.java
3834,get virtual file,VB JJ NN,intellij-community,CompilerMessageImpl.java
3835,get export text prefix,VB NN NN NN,intellij-community,CompilerMessageImpl.java
3836,get render text prefix,VB VB NN NN,intellij-community,CompilerMessageImpl.java
3837,get line,VB NN,intellij-community,CompilerMessageImpl.java
3838,get column,VB NN,intellij-community,CompilerMessageImpl.java
3839,equals,VBZ,intellij-community,CompilerMessageImpl.java
3840,hash code,NN NN,intellij-community,CompilerMessageImpl.java
3841,to string,TO NN,intellij-community,CompilerMessageImpl.java
3842,test disjunction,VB NN,intellij-community,DetailExceptionsIntentionTest.java
3843,test simple,VB JJ,intellij-community,DetailExceptionsIntentionTest.java
3844,test foreach,VB NN,intellij-community,DetailExceptionsIntentionTest.java
3845,test try with resources,VB VB IN NNS,intellij-community,DetailExceptionsIntentionTest.java
3846,test polyadic parentheses,VB JJ NNS,intellij-community,DetailExceptionsIntentionTest.java
3847,get intention name,VB NN NN,intellij-community,DetailExceptionsIntentionTest.java
3848,get relative path,VB JJ NN,intellij-community,DetailExceptionsIntentionTest.java
3849,message,NN,intellij-community,GroovyInspectionBundle.java
3850,get bundle,VB NN,intellij-community,GroovyInspectionBundle.java
3851,bar,NN,intellij-community,afterFunction.java
3852,get,VB,intellij-community,afterFunction.java
3853,foo,NN,intellij-community,afterFunction.java
3854,on build finished,IN NN VBN,intellij-community,JavaFxPreloaderArtifactProperties.java
3855,create editor,VB NN,intellij-community,JavaFxPreloaderArtifactProperties.java
3856,get state,VB NN,intellij-community,JavaFxPreloaderArtifactProperties.java
3857,load state,VB NN,intellij-community,JavaFxPreloaderArtifactProperties.java
3858,get preloader class,VB NN NN,intellij-community,JavaFxPreloaderArtifactProperties.java
3859,set preloader class,VB NN NN,intellij-community,JavaFxPreloaderArtifactProperties.java
3860,on target in edit mode changed,IN NN IN NN NN VBN,intellij-community,PushTargetEditorListener.java
3861,build classpath,VB NN,intellij-community,AntBuildFileClassLoaderHolder.java
3862,message,NN,intellij-community,PyBundle.java
3863,get bundle,VB NN,intellij-community,PyBundle.java
3864,test unreachable,VB JJ,intellij-community,PyUnreachableCodeInspectionTest.java
3865,run,VB,intellij-community,PyUnreachableCodeInspectionTest.java
3866,test with suppressed exceptions,VB IN JJ NNS,intellij-community,PyUnreachableCodeInspectionTest.java
3867,run,VB,intellij-community,PyUnreachableCodeInspectionTest.java
3868,do test,VB NN,intellij-community,PyUnreachableCodeInspectionTest.java
3869,get tool window id,VB NN NN NN,intellij-community,Executor.java
3870,get tool window icon,VB NN NN NN,intellij-community,Executor.java
3871,get icon,VB NN,intellij-community,Executor.java
3872,get disabled icon,VB JJ NN,intellij-community,Executor.java
3873,get description,VB NN,intellij-community,Executor.java
3874,get action name,VB NN NN,intellij-community,Executor.java
3875,get id,VB NN,intellij-community,Executor.java
3876,get start action text,VB NN NN NN,intellij-community,Executor.java
3877,get context action id,VB NN NN NN,intellij-community,Executor.java
3878,get help id,VB NN NN,intellij-community,Executor.java
3879,get start action text,VB NN NN NN,intellij-community,Executor.java
3880,get binary content,VB JJ NN,intellij-community,ShelvedBinaryContentRevision.java
3881,get content,VB NN,intellij-community,ShelvedBinaryContentRevision.java
3882,get file,VB NN,intellij-community,ShelvedBinaryContentRevision.java
3883,get revision number,VB NN NN,intellij-community,ShelvedBinaryContentRevision.java
3884,as string,IN NN,intellij-community,ShelvedBinaryContentRevision.java
3885,compare to,VB TO,intellij-community,ShelvedBinaryContentRevision.java
3886,get name,VB NN,intellij-community,MethodDescriptor.java
3887,get parameters,VB NNS,intellij-community,MethodDescriptor.java
3888,get parameters count,VB NNS NN,intellij-community,MethodDescriptor.java
3889,get visibility,VB NN,intellij-community,MethodDescriptor.java
3890,get method,VB NN,intellij-community,MethodDescriptor.java
3891,can change visibility,VB VBP NN,intellij-community,MethodDescriptor.java
3892,can change parameters,VB VBP NNS,intellij-community,MethodDescriptor.java
3893,can change name,VB VBP NN,intellij-community,MethodDescriptor.java
3894,can change return type,VB VBP JJ NN,intellij-community,MethodDescriptor.java
3895,get group display name,VB NN NN NN,intellij-community,GroovyContinueOrBreakFromFinallyBlockInspection.java
3896,get display name,VB NN NN,intellij-community,GroovyContinueOrBreakFromFinallyBlockInspection.java
3897,build error string,VB NN NN,intellij-community,GroovyContinueOrBreakFromFinallyBlockInspection.java
3898,build visitor,VB NN,intellij-community,GroovyContinueOrBreakFromFinallyBlockInspection.java
3899,visit continue statement,VB VBP NN,intellij-community,GroovyContinueOrBreakFromFinallyBlockInspection.java
3900,visit break statement,VB NN NN,intellij-community,GroovyContinueOrBreakFromFinallyBlockInspection.java
3901,build command line parameters,JJ NN NN NNS,intellij-community,RestCommandLineState.java
3902,do create process,VB VB NN,intellij-community,RestCommandLineState.java
3903,process terminated,NN VBN,intellij-community,RestCommandLineState.java
3904,get after task,VB IN NN,intellij-community,RestCommandLineState.java
3905,find output,VB NN,intellij-community,RestCommandLineState.java
3906,get runner,VB NN,intellij-community,RestCommandLineState.java
3907,get task,VB NN,intellij-community,RestCommandLineState.java
3908,get key,VB NN,intellij-community,RestCommandLineState.java
3909,add import if needed,VB NN IN JJ,intellij-community,ImportUtils.java
3910,name can be statically imported,NN MD VB RB VBN,intellij-community,ImportUtils.java
3911,name can be imported,NN MD VB VBN,intellij-community,ImportUtils.java
3912,contains conflicting class name,VBZ JJ NN NN,intellij-community,ImportUtils.java
3913,has exact import conflict,VBZ JJ NN NN,intellij-community,ImportUtils.java
3914,has exact import static conflict,VBZ JJ NN JJ NN,intellij-community,ImportUtils.java
3915,has on demand import conflict,VBZ IN NN NN NN,intellij-community,ImportUtils.java
3916,has on demand import conflict,VBZ IN NN NN NN,intellij-community,ImportUtils.java
3917,has default import conflict,VBZ JJ NN NN,intellij-community,ImportUtils.java
3918,has java lang import conflict,VBZ NN NN NN NN,intellij-community,ImportUtils.java
3919,contains conflicting class,VBZ JJ NN,intellij-community,ImportUtils.java
3920,contains conflicting inner class,VBZ JJ JJ NN,intellij-community,ImportUtils.java
3921,add static import,VB JJ NN,intellij-community,ImportUtils.java
3922,find on demand import static statement,VB IN NN NN JJ NN,intellij-community,ImportUtils.java
3923,get matching imports,VB JJ NNS,intellij-community,ImportUtils.java
3924,is statically imported,VBZ RB VBN,intellij-community,ImportUtils.java
3925,member referenced,NN VBN,intellij-community,ImportUtils.java
3926,visit reference element,VB NN NN,intellij-community,ImportUtils.java
3927,is reference found,VBZ NN VBN,intellij-community,ImportUtils.java
3928,contains conflicting reference,VBZ JJ NN,intellij-community,ImportUtils.java
3929,compute,VB,intellij-community,ImportUtils.java
3930,visit element,VB NN,intellij-community,ImportUtils.java
3931,visit reference element,VB NN NN,intellij-community,ImportUtils.java
3932,is conflicting reference found,VBZ JJ NN VBN,intellij-community,ImportUtils.java
3933,add artifact,VB NN,intellij-community,ModifiableArtifactModel.java
3934,add artifact,VB NN,intellij-community,ModifiableArtifactModel.java
3935,remove artifact,VB NN,intellij-community,ModifiableArtifactModel.java
3936,get or create modifiable artifact,VB CC VB JJ NN,intellij-community,ModifiableArtifactModel.java
3937,get modifiable copy,VB JJ NN,intellij-community,ModifiableArtifactModel.java
3938,add listener,VB NN,intellij-community,ModifiableArtifactModel.java
3939,remove listener,VB NN,intellij-community,ModifiableArtifactModel.java
3940,is modified,VBZ VBN,intellij-community,ModifiableArtifactModel.java
3941,commit,VB,intellij-community,ModifiableArtifactModel.java
3942,dispose,VB,intellij-community,ModifiableArtifactModel.java
3943,test,VB,intellij-community,NonSerializableWithSerialVersionUIDFieldInspectionTest.java
3944,method,NN,intellij-community,CovariantReturnType.java
3945,method,NN,intellij-community,CovariantReturnType.java
3946,method,NN,intellij-community,CovariantReturnType.java
3947,declare final,VB JJ,intellij-community,GrIntroduceFieldSettings.java
3948,initialize in,VB IN,intellij-community,GrIntroduceFieldSettings.java
3949,get visibility modifier,VB NN NN,intellij-community,GrIntroduceFieldSettings.java
3950,is static,VBZ JJ,intellij-community,GrIntroduceFieldSettings.java
3951,remove local var,VB JJ NN,intellij-community,GrIntroduceFieldSettings.java
3952,to string,TO NN,intellij-community,GrIntroduceFieldSettings.java
3953,get dom name strategy,VB NNP NN NN,intellij-community,AttributeChildDescriptionImpl.java
3954,get getter method,VB NN NN,intellij-community,AttributeChildDescriptionImpl.java
3955,to string,TO NN,intellij-community,AttributeChildDescriptionImpl.java
3956,get annotation,VB NN,intellij-community,AttributeChildDescriptionImpl.java
3957,get values,VB NNS,intellij-community,AttributeChildDescriptionImpl.java
3958,get common presentable name,VB JJ JJ NN,intellij-community,AttributeChildDescriptionImpl.java
3959,get dom attribute value,VB NNP NN NN,intellij-community,AttributeChildDescriptionImpl.java
3960,get dom attribute value,VB NNP NN NN,intellij-community,AttributeChildDescriptionImpl.java
3961,equals,VBZ,intellij-community,AttributeChildDescriptionImpl.java
3962,hash code,NN NN,intellij-community,AttributeChildDescriptionImpl.java
3963,visit reference expression,VB NN NN,intellij-community,DelegatingClassReferenceVisitor.java
3964,visit local variable declaration,VB JJ JJ NN,intellij-community,DelegatingClassReferenceVisitor.java
3965,visit field declaration,VB NN NN,intellij-community,DelegatingClassReferenceVisitor.java
3966,visit parameter declaration,VB NN NN,intellij-community,DelegatingClassReferenceVisitor.java
3967,visit method return type,VB NN NN NN,intellij-community,DelegatingClassReferenceVisitor.java
3968,visit type cast expression,VB NN NN NN,intellij-community,DelegatingClassReferenceVisitor.java
3969,visit new expression,VB JJ NN,intellij-community,DelegatingClassReferenceVisitor.java
3970,visit other,VB JJ,intellij-community,DelegatingClassReferenceVisitor.java
3971,get canonical text,VB JJ NN,intellij-community,SimpleAttributeReference.java
3972,get element,VB NN,intellij-community,SimpleAttributeReference.java
3973,get range in element,VB NN IN NN,intellij-community,SimpleAttributeReference.java
3974,is reference to,VBZ NN TO,intellij-community,SimpleAttributeReference.java
